year,age_year,number
2012,9-<10,11929
2012,10-<11,9633
2012,11-<12,6446
2012,12-<13,5375
2012,13-<14,4103
2012,14-<15,3300
2012,15-<16,2227
2012,16-<17,1750
2012,17-<18,951
2012,18-<19,1481
2012,19-<20,1092
2012,20->,9024
2013,0-<1,11571
2013,1-<2,9859
2013,2-<3,7893
2013,3-<4,7957
2013,4-<5,8487
2013,5-<6,9812
2013,6-<7,9637
2013,7-<8,10338
2013,8-<9,10301
2013,9-<10,9406
2013,10-<11,8666
2013,11-<12,9175
2013,12-<13,5999
2013,13-<14,4943
2013,14-<15,3670
2013,15-<16,2593
2013,16-<17,2065
2013,17-<18,1570
2013,18-<19,808
2013,19-<20,1101
2013,20->,8456
2014,0-<1,8068
2014,1-<2,11583
2014,2-<3,9803
2014,3-<4,7817
2014,4-<5,7873
2014,5-<6,8377
2014,6-<7,9696
2014,7-<8,9496
2014,8-<9,10060
2014,9-<10,9484
2014,10-<11,6118
2014,11-<12,8467
2014,12-<13,8876
2014,13-<14,5693
2014,14-<15,4613
2014,15-<16,2948
2014,16-<17,2514
2014,17-<18,1966
2014,18-<19,1471
2014,19-<20,708
2014,20->,8773
2015,0-<1,7354
2015,1-<2,8114
2015,2-<3,11538
2015,3-<4,9756
2015,4-<5,7734
2015,5-<6,7769
2015,6-<7,8281
2015,7-<8,9562
2015,8-<9,9320
2015,9-<10,9484
2015,10-<11,5045
2015,11-<12,5975
2015,12-<13,8291
2015,13-<14,8660
2015,14-<15,5283
2015,15-<16,3777
2015,16-<17,2880
2015,17-<18,2452
2015,18-<19,1858
2015,19-<20,1306
2015,20->,8840
2016,0-<1,8178
2016,1-<2,7440
2016,2-<3,8087
2016,3-<4,11479
2016,4-<5,9680
2016,5-<6,7665
2016,6-<7,7661
2016,7-<8,8157
2016,8-<9,9357
2016,9-<10,8831
2016,10-<11,5392
2016,11-<12,4885
2016,12-<13,5843
2016,13-<14,8104
2016,14-<15,8162
2016,15-<16,3987
2016,16-<17,3712
2016,17-<18,2803
2016,18-<19,2345
2016,19-<20,1590
2016,20->,9081
2017,0-<1,9451
2017,1-<2,8284
2017,2-<3,7450
2017,3-<4,8059
2017,4-<5,11413
2017,5-<6,9632
2017,6-<7,7576
2017,7-<8,7566
2017,8-<9,7978
2017,9-<10,8760
2017,10-<11,5735
2017,11-<12,5163
2017,12-<13,4702
2017,13-<14,5617
2017,14-<15,7461
2017,15-<16,5283
2017,16-<17,3919
2017,17-<18,3604
2017,18-<19,2690
2017,19-<20,2089
2017,20->,8872
2018,0-<1,11943
2018,1-<2,9501
2018,2-<3,8225
2018,3-<4,7420
2018,4-<5,8021
2018,5-<6,11345
2018,6-<7,9535
2018,7-<8,7450
2018,8-<9,7394
2018,9-<10,7490
2018,10-<11,5494
2018,11-<12,5437
2018,12-<13,4860
2018,13-<14,4374
2018,14-<15,4953
2018,15-<16,4309
2018,16-<17,4647
2018,17-<18,3123
2018,18-<19,2492
2018,19-<20,1435
2018,20->,7394
2019,0-<1,19246
2019,1-<2,11927
2019,2-<3,9329
2019,3-<4,8003
2019,4-<5,7304
2019,5-<6,7886
2019,6-<7,11180
2019,7-<8,9316
2019,8-<9,7086
2019,9-<10,6719
2019,10-<11,5543
2019,11-<12,4833
2019,12-<13,4772
2019,13-<14,4140
2019,14-<15,3516
2019,15-<16,2946
2019,16-<17,3833
2019,17-<18,3620
2019,18-<19,2086
2019,19-<20,1203
2019,20->,5910
