month,category,type,number
2016-08,Cars,CNG,0
2016-08,Cars,Electric,2
2016-08,Cars,Diesel-Electric,22
2016-08,Taxis,Petrol,320
2016-08,Taxis,Diesel,24126
2016-08,Taxis,Petrol-Electric,2222
2016-08,Taxis,Petrol-CNG,1222
2016-08,Taxis,CNG,0
2016-08,Motor-cycles,Petrol,142709
2016-08,Motor-cycles,Electric,2
2016-08,Goods & Other Vehicles,Petrol,7212
2016-08,Goods & Other Vehicles,Diesel,136802
2016-08,Goods & Other Vehicles,Petrol-Electric,1
2016-08,Goods & Other Vehicles,Petrol-CNG,8
2016-08,Goods & Other Vehicles,CNG,3
2016-08,Goods & Other Vehicles,Electric,1
2016-08,Goods & Other Vehicles,Diesel-Electric,6
2016-08,Buses,Petrol,77
2016-08,Buses,Diesel,18105
2016-08,Buses,Petrol-CNG,2
2016-08,Buses,CNG,12
2016-08,Buses,Electric,1
2016-08,Buses,Diesel-Electric,4
2016-09,Cars,Petrol,582440
2016-09,Cars,Diesel,9168
2016-09,Cars,Petrol-Electric,8068
2016-09,Cars,Petrol-Electric (Plug-In),124
2016-09,Cars,Petrol-CNG,1716
2016-09,Cars,CNG,0
2016-09,Cars,Electric,3
2016-09,Cars,Diesel-Electric,22
2016-09,Taxis,Petrol,309
2016-09,Taxis,Diesel,24007
2016-09,Taxis,Petrol-Electric,2273
2016-09,Taxis,Petrol-CNG,1119
2016-09,Taxis,CNG,0
2016-09,Motor-cycles,Petrol,142723
2016-09,Motor-cycles,Electric,2
2016-09,Goods & Other Vehicles,Petrol,7211
2016-09,Goods & Other Vehicles,Diesel,136624
2016-09,Goods & Other Vehicles,Petrol-Electric,1
2016-09,Goods & Other Vehicles,Petrol-CNG,6
2016-09,Goods & Other Vehicles,CNG,3
2016-09,Goods & Other Vehicles,Electric,1
2016-09,Goods & Other Vehicles,Diesel-Electric,6
2016-09,Buses,Petrol,76
2016-09,Buses,Diesel,18157
2016-09,Buses,Petrol-CNG,2
2016-09,Buses,CNG,12
2016-09,Buses,Electric,1
2016-09,Buses,Diesel-Electric,4
2016-10,Cars,Petrol,581759
2016-10,Cars,Diesel,9530
2016-10,Cars,Petrol-Electric,8801
2016-10,Cars,Petrol-Electric (Plug-In),125
2016-10,Cars,Petrol-CNG,1707
2016-10,Cars,CNG,0
2016-10,Cars,Electric,4
2016-10,Cars,Diesel-Electric,22
2016-10,Taxis,Petrol,298
2016-10,Taxis,Diesel,23810
2016-10,Taxis,Petrol-Electric,2343
2016-10,Taxis,Petrol-CNG,1081
2016-10,Taxis,CNG,0
2016-10,Motor-cycles,Petrol,142564
2016-10,Motor-cycles,Electric,2
2016-10,Goods & Other Vehicles,Petrol,7189
2016-10,Goods & Other Vehicles,Diesel,136722
2016-10,Goods & Other Vehicles,Petrol-Electric,1
2016-10,Goods & Other Vehicles,Petrol-CNG,6
2016-10,Goods & Other Vehicles,CNG,3
2016-10,Goods & Other Vehicles,Electric,1
2016-10,Goods & Other Vehicles,Diesel-Electric,6
2016-10,Buses,Petrol,75
2016-10,Buses,Diesel,18213
2016-10,Buses,Petrol-CNG,2
2016-10,Buses,CNG,12
2016-10,Buses,Electric,1
2016-10,Buses,Diesel-Electric,3
2016-11,Cars,Petrol,580298
2016-11,Cars,Diesel,10056
2016-11,Cars,Petrol-Electric,9654
2016-11,Cars,Petrol-Electric (Plug-In),125
2016-11,Cars,Petrol-CNG,1692
2016-11,Cars,CNG,0
2016-11,Cars,Electric,5
2016-11,Cars,Diesel-Electric,22
2016-11,Taxis,Petrol,284
2016-11,Taxis,Diesel,23760
2016-11,Taxis,Petrol-Electric,2398
2016-11,Taxis,Petrol-CNG,1053
2016-11,Taxis,CNG,0
2016-11,Motor-cycles,Petrol,142429
2016-11,Motor-cycles,Electric,2
2016-11,Goods & Other Vehicles,Petrol,7161
2016-11,Goods & Other Vehicles,Diesel,136825
2016-11,Goods & Other Vehicles,Petrol-Electric,1
2016-11,Goods & Other Vehicles,Petrol-CNG,5
2016-11,Goods & Other Vehicles,CNG,3
2016-11,Goods & Other Vehicles,Electric,1
2016-11,Goods & Other Vehicles,Diesel-Electric,7
2016-11,Buses,Petrol,75
2016-11,Buses,Diesel,18232
2016-11,Buses,Petrol-CNG,2
2016-11,Buses,CNG,12
2016-11,Buses,Electric,1
2016-11,Buses,Diesel-Electric,3
2016-12,Cars,Petrol,578977
