month,make,number
2016-07,MERCEDES BENZ,572
2016-07,MINI,58
2016-07,MITSUBISHI,538
2016-07,MITSUOKA,1
2016-07,MORGAN,0
2016-07,MORRIS,0
2016-07,NAZA,0
2016-07,NISSAN,731
2016-07,OPEL,24
2016-07,PAGANI,0
2016-07,PERODUA,32
2016-07,PEUGEOT,76
2016-07,PORSCHE,54
2016-07,PRINCE,0
2016-07,PROTON,45
2016-07,RENAULT,49
2016-07,ROLLS ROYCE,4
2016-07,ROVER,0
2016-07,SAAB,15
2016-07,SKODA,8
2016-07,SMART,0
2016-07,SSANGYONG,7
2016-07,SUBARU,274
2016-07,SUZUKI,244
2016-07,TD CARS,1
2016-07,TOYOTA,2513
2016-07,TRIUMPH,0
2016-07,VOLKSWAGEN,394
2016-07,VOLVO,146
2016-07,WULING,0
2016-07,ZOTYE,0
2016-08,ALFA ROMEO,14
2016-08,ALPINA,0
2016-08,ASTON MARTIN,4
2016-08,AUDI,271
2016-08,AUSTIN,1
2016-08,B.M.W.,682
2016-08,BENTLEY,7
2016-08,BERTONE,0
2016-08,CATERHAM,1
2016-08,CHANA,1
2016-08,CHERY,18
2016-08,CHEVROLET,155
2016-08,CHRYSLER,9
2016-08,CITROEN,53
2016-08,DAIHATSU,42
2016-08,DAIMLER,0
2016-08,DODGE,1
2016-08,DONGFENG,1
2016-08,FERRARI,14
2016-08,FIAT,46
2016-08,FORD,46
2016-08,FOTON,0
2016-08,FRAZER,0
2016-08,GEELY,4
2016-08,GOLDEN DRAGON,0
2016-08,HAFEI,1
2016-08,HONDA,1637
2016-08,HUMMER,0
2016-08,HYUNDAI,467
2016-08,INFINITI,5
2016-08,JAGUAR,37
2016-08,JEEP,3
2016-08,KIA,308
2016-08,LAMBORGHINI,6
2016-08,LAND ROVER,23
2016-08,LOTUS,2
2016-08,M.G.,0
2016-08,MASERATI,15
2016-08,MAZDA,336
2016-08,Mclaren,3
2016-08,MERCEDES BENZ,565
2016-08,MINI,60
2016-08,MITSUBISHI,443
2016-08,MITSUOKA,1
2016-08,MORGAN,2
2016-08,MORRIS,0
2016-08,NAZA,1
2016-08,NISSAN,645
