period,category,type,cumulative_number
2017-Q4,Motorcycles and Scooters,Motorcycles and Scooters,9630
2017-Q4,Goods and Other Vehicles,Goods-cum-passengers,233
2017-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),14047
2017-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),2988
2017-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1344
2017-Q4,Buses,Public Buses,371
2017-Q4,Buses,School Buses,104
2017-Q4,Buses,Private Buses,227
2017-Q4,Buses,Private Hire Buses,45
2017-Q4,Buses,Excursion Buses,903
2017-Q4,Tax Exempted Vehicles,Cars and Station-wagons,210
2017-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,31
2017-Q4,Tax Exempted Vehicles,Buses,37
2017-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,1136
2018-Q1,Cars and Station-wagons,Private cars,15064
2018-Q1,Cars and Station-wagons,Company cars,724
2018-Q1,Cars and Station-wagons,Tuition cars,9
2018-Q1,Cars and Station-wagons,Private Hire (Self-Drive) cars,468
2018-Q1,Cars and Station-wagons,Private Hire (Chauffeur) cars,913
2018-Q1,Cars and Station-wagons,Off peak cars,580
2018-Q1,Taxis,Taxis,0
2018-Q1,Motorcycles and Scooters,Motorcycles and Scooters,1518
2018-Q1,Goods and Other Vehicles,Goods-cum-passengers,33
2018-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),1462
2018-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),181
2018-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),47
2018-Q1,Buses,Public Buses,0
2018-Q1,Buses,School Buses,9
2018-Q1,Buses,Private Buses,23
2018-Q1,Buses,Private Hire Buses,5
2018-Q1,Buses,Excursion Buses,56
2018-Q1,Tax Exempted Vehicles,Cars and Station-wagons,39
2018-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,0
2018-Q1,Tax Exempted Vehicles,Buses,1
2018-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,239
2018-Q2,Cars and Station-wagons,Private cars,34986
2018-Q2,Cars and Station-wagons,Company cars,1826
2018-Q2,Cars and Station-wagons,Tuition cars,34
2018-Q2,Cars and Station-wagons,Private Hire (Self-Drive) cars,1615
2018-Q2,Cars and Station-wagons,Private Hire (Chauffeur) cars,2673
2018-Q2,Cars and Station-wagons,Off peak cars,1434
2018-Q2,Taxis,Taxis,37
2018-Q2,Motorcycles and Scooters,Motorcycles and Scooters,3999
2018-Q2,Goods and Other Vehicles,Goods-cum-passengers,104
2018-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),4107
2018-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),601
2018-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),199
2018-Q2,Buses,Public Buses,25
2018-Q2,Buses,School Buses,14
2018-Q2,Buses,Private Buses,63
2018-Q2,Buses,Private Hire Buses,17
2018-Q2,Buses,Excursion Buses,152
2018-Q2,Tax Exempted Vehicles,Cars and Station-wagons,89
2018-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,2
2018-Q2,Tax Exempted Vehicles,Buses,17
2018-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,450
2018-Q3,Cars and Station-wagons,Private cars,49790
2018-Q3,Cars and Station-wagons,Company cars,2547
2018-Q3,Cars and Station-wagons,Tuition cars,39
2018-Q3,Cars and Station-wagons,Private Hire (Self-Drive) cars,2272
2018-Q3,Cars and Station-wagons,Private Hire (Chauffeur) cars,3226
2018-Q3,Cars and Station-wagons,Off peak cars,2052
2018-Q3,Taxis,Taxis,567
2018-Q3,Motorcycles and Scooters,Motorcycles and Scooters,7468
2018-Q3,Goods and Other Vehicles,Goods-cum-passengers,164
2018-Q3,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),6584
2018-Q3,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1073
2018-Q3,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),402
2018-Q3,Buses,Public Buses,79
2018-Q3,Buses,School Buses,22
2018-Q3,Buses,Private Buses,124
2018-Q3,Buses,Private Hire Buses,29
2018-Q3,Buses,Excursion Buses,269
2018-Q3,Tax Exempted Vehicles,Cars and Station-wagons,123
2018-Q3,Tax Exempted Vehicles,Motorcycles and Scooters,38
2018-Q3,Tax Exempted Vehicles,Buses,27
2018-Q3,Tax Exempted Vehicles,Goods and Other Vehicles,680
2018-Q4,Cars and Station-wagons,Private cars,66543
2018-Q4,Cars and Station-wagons,Company cars,3586
2018-Q4,Cars and Station-wagons,Tuition cars,50
2018-Q4,Cars and Station-wagons,Private Hire (Self-Drive) cars,2940
2018-Q4,Cars and Station-wagons,Private Hire (Chauffeur) cars,4200
2018-Q4,Cars and Station-wagons,Off peak cars,2743
2018-Q4,Taxis,Taxis,1344
2018-Q4,Motorcycles and Scooters,Motorcycles and Scooters,12049
2018-Q4,Goods and Other Vehicles,Goods-cum-passengers,203
2018-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),9350
2018-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1591
2018-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),599
2018-Q4,Buses,Public Buses,239
2018-Q4,Buses,School Buses,40
