month,type,category,number
2019-11,10 Year,Category D,103
2019-12,5 Year,Category A,937
2019-12,5 Year,Category B,265
2019-12,5 Year,Category C,522
2019-12,5 Year,Category D,173
2019-12,10 Year,Category A,469
2019-12,10 Year,Category B,499
2019-12,10 Year,Category C,75
2019-12,10 Year,Category D,213
2020-01,5 Year,Category A,1159
2020-01,5 Year,Category B,289
2020-01,5 Year,Category C,491
2020-01,5 Year,Category D,256
2020-01,10 Year,Category A,443
2020-01,10 Year,Category B,567
2020-01,10 Year,Category C,97
2020-01,10 Year,Category D,450
2020-02,5 Year,Category A,532
2020-02,5 Year,Category B,150
2020-02,5 Year,Category C,425
2020-02,5 Year,Category D,151
2020-02,10 Year,Category A,193
2020-02,10 Year,Category B,436
2020-02,10 Year,Category C,64
2020-02,10 Year,Category D,216
2020-03,5 Year,Category A,574
2020-03,5 Year,Category B,215
2020-03,5 Year,Category C,807
2020-03,5 Year,Category D,214
2020-03,10 Year,Category A,262
2020-03,10 Year,Category B,738
2020-03,10 Year,Category C,79
2020-03,10 Year,Category D,250
2020-04,5 Year,Category A,442
2020-04,5 Year,Category B,136
2020-04,5 Year,Category C,554
2020-04,5 Year,Category D,154
2020-04,10 Year,Category A,236
2020-04,10 Year,Category B,597
2020-04,10 Year,Category C,52
2020-04,10 Year,Category D,142
2020-05,5 Year,Category A,360
2020-05,5 Year,Category B,126
2020-05,5 Year,Category C,259
2020-05,5 Year,Category D,166
2020-05,10 Year,Category A,164
2020-05,10 Year,Category B,491
2020-05,10 Year,Category C,54
2020-05,10 Year,Category D,173
2020-06,5 Year,Category A,427
2020-06,5 Year,Category B,138
2020-06,5 Year,Category C,556
2020-06,5 Year,Category D,191
2020-06,10 Year,Category A,238
2020-06,10 Year,Category B,713
2020-06,10 Year,Category C,45
2020-06,10 Year,Category D,263
2020-07,5 Year,Category A,461
2020-07,5 Year,Category B,159
2020-07,5 Year,Category C,563
2020-07,5 Year,Category D,437
2020-07,10 Year,Category A,257
2020-07,10 Year,Category B,816
2020-07,10 Year,Category C,90
2020-07,10 Year,Category D,1005
